point_id,lon,lat,note,property,depth,value,target_units,mapped_units
se_corner,-57.03356,-25.61172,SE corner (lowest),bdod,30-60cm,1.290,kg/dm³,cg/cm³
se_corner,-57.03356,-25.61172,SE corner (lowest),bdod,60-100cm,1.320,kg/dm³,cg/cm³
se_corner,-57.03356,-25.61172,SE corner (lowest),bdod,100-200cm,1.330,kg/dm³,cg/cm³
se_corner,-57.03356,-25.61172,SE corner (lowest),cec,0-5cm,20.600,cmol(c)/kg,mmol(c)/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),cec,5-15cm,21.300,cmol(c)/kg,mmol(c)/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),cec,15-30cm,20.100,cmol(c)/kg,mmol(c)/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),cec,30-60cm,19.900,cmol(c)/kg,mmol(c)/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),cec,60-100cm,19.500,cmol(c)/kg,mmol(c)/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),cec,100-200cm,19.600,cmol(c)/kg,mmol(c)/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),nitrogen,0-5cm,3.120,g/kg,cg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),nitrogen,5-15cm,2.040,g/kg,cg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),nitrogen,15-30cm,1.260,g/kg,cg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),nitrogen,30-60cm,0.750,g/kg,cg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),nitrogen,60-100cm,0.520,g/kg,cg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),nitrogen,100-200cm,0.490,g/kg,cg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),ocd,0-5cm,39.800,hg/m³,dg/dm³
se_corner,-57.03356,-25.61172,SE corner (lowest),ocd,5-15cm,29.600,hg/m³,dg/dm³
se_corner,-57.03356,-25.61172,SE corner (lowest),ocd,15-30cm,20.800,hg/m³,dg/dm³
se_corner,-57.03356,-25.61172,SE corner (lowest),ocd,30-60cm,11.700,hg/m³,dg/dm³
se_corner,-57.03356,-25.61172,SE corner (lowest),ocd,60-100cm,6.300,hg/m³,dg/dm³
se_corner,-57.03356,-25.61172,SE corner (lowest),ocd,100-200cm,3.700,hg/m³,dg/dm³
se_corner,-57.03356,-25.61172,SE corner (lowest),soc,0-5cm,38.000,g/kg,dg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),soc,5-15cm,25.800,g/kg,dg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),soc,15-30cm,19.300,g/kg,dg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),soc,30-60cm,9.800,g/kg,dg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),soc,60-100cm,8.400,g/kg,dg/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),soc,100-200cm,9.700,g/kg,dg/kg
wes_pin,-57.03365,-25.61138,Wesley interior pin (166.3 m AMSL),clay,0-5cm,19.300,%,g/kg
