id,type,source,license,size_mb,files,resolution_hint,integration_target,lqv_use_score,notes
dirt_floor,texture,polyhaven.com,CC0 1.0 Universal,56.6,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
dry_decay_leaves,texture,polyhaven.com,CC0 1.0 Universal,42.9,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
dry_ground_01,texture,polyhaven.com,CC0 1.0 Universal,32.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
dry_ground_rocks,texture,polyhaven.com,CC0 1.0 Universal,52.1,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/feature,4,hill outcrop / boulder
dry_mud_field_001,texture,polyhaven.com,CC0 1.0 Universal,22.9,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,muddy tracks + creek surrounds
dry_riverbed_rock,texture,polyhaven.com,CC0 1.0,49.7,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/water,5,creek/river bed
fine_grained_wood,texture,polyhaven.com,CC0 1.0 Universal,17.4,AO|Diffuse|Rough|nor_gl,4k,unclassified,1,
forest_floor,texture,polyhaven.com,CC0 1.0,66.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,Atlantic-Forest litter
forrest_ground_01,texture,polyhaven.com,CC0 1.0 Universal,41.8,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
forrest_ground_03,texture,polyhaven.com,CC0 1.0 Universal,56.4,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
grass_concrete_pavement,texture,polyhaven.com,CC0 1.0 Universal,69.8,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,grass scatter ground
grass_path_2,texture,polyhaven.com,CC0 1.0 Universal,29.2,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,grass scatter ground
grass_path_3,texture,polyhaven.com,CC0 1.0 Universal,28.6,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,grass scatter ground
