binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Leandra multiplinervis,Melastomataceae,Leandra multiplinervis (Naudin) Cogn.,tree,confirmed,118,NA,75.29,widespread,Endemic,68,24,,,,,,,,,,
Leandra multisetosa,Melastomataceae,Leandra multisetosa Cogn.,shrub,confirmed,17,NA,100.0,pure_endemic,Endemic,8,0,,,,,,,,,,
Leandra niederleinii,,Leandra niederleinii,,in AR list but not in AF checklist,0,,,,,,,,,cat5: Plantas de distribución restringida (como cat. 4) pero con poblaciones esc,,,,,,,
Leandra pennipilis,Melastomataceae,Leandra pennipilis (Triana) Cogn.,tree,new to AF,22,NA,100.0,pure_endemic,Not in the AF,14,0,,,,,,,,,,
Leandra pilonensis,Melastomataceae,Leandra pilonensis Wurdack,tree,confirmed,26,NA,97.14,near_endemic,Endemic,23,0,,,,,,,,,,
Leandra purpurascens,Melastomataceae,Leandra purpurascens (DC.) Cogn.,shrub,confirmed,255,NA,93.4,near_endemic,Not endemic,209,11,,,,,,,,,,
Leandra purpureovillosa,Melastomataceae,Leandra purpureovillosa Hoehne,tree,confirmed,52,NA,98.99,near_endemic,Endemic,49,0,,,,,,,,,,
Leandra quinquedentata,Melastomataceae,Leandra quinquedentata (DC.) Cogn.,shrub,confirmed,232,NA,98.78,near_endemic,Not endemic,202,1,,,,,,,,,,
Leandra quinquenodis,Melastomataceae,Leandra quinquenodis (DC.) Cogn.,shrub,confirmed,13,NA,100.0,pure_endemic,Not endemic,7,0,,,,,,,,,,
Leandra regnellii,Melastomataceae,Leandra regnellii (Triana) Cogn.,tree,confirmed,489,NA,93.17,near_endemic,Endemic,414,24,,,,,,,,,,
Leandra reitzii,Melastomataceae,Leandra reitzii Wurdack,tree,confirmed,47,NA,100.0,pure_endemic,Endemic,47,0,,,,,,,,,,
Leandra rufescens,Melastomataceae,Leandra rufescens (DC.) Cogn.,shrub,confirmed,191,NA,55.8,widespread,Not endemic,85,63,,,,,,,,,,
Leandra salicina,Melastomataceae,Leandra salicina (DC.) Cogn.,tree,confirmed,65,NA,44.59,widespread,Not endemic,15,19,,,,,,,,,,
Leandra sericea,Melastomataceae,Leandra sericea DC.,shrub,confirmed,87,NA,100.0,pure_endemic,Endemic,78,0,,,,,,,,,,
Leandra solenifera,Melastomataceae,Leandra solenifera (DC.) Cogn.,tree,new to AF,145,NA,1.04,occasional,Not in the AF,1,98,,,,,,,,,,
Leandra sphaerocarpa,Melastomataceae,Leandra sphaerocarpa Cogn.,shrub,confirmed,8,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,
Leandra tetraquetra,Melastomataceae,Leandra tetraquetra (Cham.) Cogn.,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,
Leandra tristis,Melastomataceae,Leandra tristis Cogn.,shrub,confirmed,5,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,
Leandra truncata,Melastomataceae,Leandra truncata Baumgratz & D`El Rei Souza,shrub,confirmed,22,NA,100.0,pure_endemic,Endemic,22,0,,,,,,,,,,
Leandra umbellata,Melastomataceae,Leandra umbellata DC.,shrub,confirmed,31,NA,97.96,near_endemic,Not endemic,24,0,,,,,,,,,,
Leandra variabilis,Melastomataceae,Leandra variabilis Raddi,tree,confirmed,508,NA,99.77,near_endemic,Endemic,482,1,,,,,,,,,,
Leandra vesiculosa,Melastomataceae,Leandra vesiculosa Cogn.,tree,confirmed,24,NA,100.0,pure_endemic,Endemic,19,0,,,,,,,,,,
Lebetanthus myrsinites,,Lebetanthus myrsinites,,in AR list but not in AF checklist,0,,,,,,,,Endangered,,,,,,,,
